PetID,cute_val
0008c5398,0.75325876
000a290e4,0.4987234
000fb9572,0.73216206
0011d7c25,0.5668555
00156db4a,0.5702977
001a1aaad,0.6487286
001b1507c,0.49808717
002230dea,0.50595605
002278114,0.71004766
0025a8313,0.568206
0038234c6,0.64986867
0038c9343,0.6098515
003dd2e26,0.43709272
0045ed62a,0.41457415
004709939,0.5851218
004a26127,0.55088085
004c2f355,0.2835962
0052dcf47,0.58422285
00553ae55,0.5656499
0058586f1,0.47306702
005afe792,0.5916618
005bb92d8,0.45405054
0063bd7e0,0.27129915
0063f83c9,0.6637006
00648f96f,0.36788088
006610fe3,0.31136408
006d301e9,0.65523505
006ffebaf,0.6399297
00709d75b,0.42154393
0073c33d0,0.61520356
007bc1db4,0.5597926
007ffeccd,0.72067845
00904fc2c,0.587829
0090eb457,0.40644187
009239f92,0.4816785
00a1a8af4,0.3847788
00a1f270a,0.46146503
00ac364a4,0.64815074
00af25fc0,0.52625865
00b00d5c1,0.3380672
00b23513e,0.78718245
00be0a63e,0.45919204
00bfa5da9,0.45627728
00c19f4fa,0.4918699
00c71a320,0.5445985
00e50c7a7,0.626723
00eca0391,0.38377836
00eced1f0,0.28388086
00f3a3993,0.70294636
00f63c6fc,0.27607974
00f997463,0.60572004
010a59236,0.56245756
0111f92ff,0.46140084
011350faf,0.26746604
01142a354,0.7484675
01186c9fc,0.505157
0118db3a8,0.26332632
011a11cda,0.6138347
01231c438,0.6882246
012a1a396,0.630652
0133b0214,0.63668996
0133b2a29,0.5731829
013527aeb,0.38571241
0142670c8,0.47854665
0143edd0a,0.5388296
0146f6d2c,0.48190546
0149d04e7,0.5404503
014ce5783,0.65732354
0154e0f7b,0.65660363
01573c686,0.48926193
015770429,0.80169004
0157cf3a4,0.6180555
015b8b722,0.5142194
015c353ce,0.5920863
015c75c9e,0.6657758
015da0878,0.881776
015da9e87,0.556048
015fdb354,0.5249494
01603d6e2,0.5291021
0162634c2,0.43453115
0164a9cfb,0.732601
016dcf8d4,0.6204426
0173c456c,0.6501586
0178fe2f7,0.6279206
017d966eb,0.6668576
017eda6dc,0.373501
01802debf,0.48483995
018188075,0.62078947
018cb4eaf,0.18930581
018e4d193,0.6732633
01919fe72,0.4986935
01928bd13,0.67840356
01958f464,0.39614284
01a07b591,0.42767102
01a7b719c,0.4573787
01a985b44,0.49593577
01ac09f2a,0.5553374
01b167b92,0.5469893
01b26743c,0.5056637
01b3356f5,0.6488505
01b8e6c14,0.48953822
01ba4e94d,0.6676831
01ba86830,0.4886116
01bcfcde8,0.7787951
01c202740,0.665522
01c3c09df,0.5541119
01c62e03b,0.392139
01c6d3224,0.35904983
01c7411ef,0.4838099
01ce66bd5,0.6647554
01d0a7f3f,0.56083876
01d646ea8,0.41875482
01d981c81,0.59342414
01da89f29,0.56749153
01dac4b22,0.2853391
01dc16c21,0.7088425
01dd8880a,0.60511273
01e4020da,0.6279566
01e410583,0.59723365
01e517961,0.3169263
01e5d357f,0.6357942
01e5e057b,0.42782134
01e6a888d,0.46196386
01e78230b,0.3408281
01e93552a,0.4700035
01ecd8b66,0.6810523
01f4746ef,0.7542435
01f976ec9,0.68031394
020cd1d50,0.6569454
